ccf-rank,abbreviation,ccf-name,publisher,url
CCF-B,ETAPS,European Joint Conferences on Theory and Practice of Software,Springer,http://dblp.uni-trier.de/db/conf/etaps/
CCF-B,ICPC,IEEE International Conference on Program Comprehension,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/
CCF-B,RE,IEEE International Requirement Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/re/
CCF-B,CAiSE,International Conference on Advanced Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/caise/
CCF-B,ICFP,International Conference on Function Programming,ACM,http://dblp.uni-trier.de/db/conf/icfp/
CCF-B,LCTES,"International Conference on Languages, Compilers and Tools for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/lctrts/
CCF-B,MoDELS,International Conference on Model Driven Engineering Languages and Systems,"ACM, IEEE",http://dblp.uni-trier.de/db/conf/models/
CCF-B,CP,International Conference on Principles and Practice of Constraint Programming,Springer,http://dblp.uni-trier.de/db/conf/cp/
CCF-B,ICSOC,International Conference on Service Oriented Computing,Springer,http://dblp.uni-trier.de/db/conf/icsoc/
CCF-B,SANER,"International Conference on Software Analysis, Evolution, and Reengineering",IEEE,http://dblp.uni-trier.de/db/conf/wcre/
CCF-B,ICSME,International Conference on Software Maintenance and Evolution,IEEE,http://dblp.uni-trier.de/db/conf/icsm/
CCF-B,VMCAI,"International Conference on Verification, Model Checking, and Abstract Interpretation",Springer,http://dblp.uni-trier.de/db/conf/vmcai/
CCF-B,ICWS,International Conference on Web Services （Research Track）,IEEE,http://dblp.uni-trier.de/db/conf/icws/
CCF-B,Middleware,International Middleware Conference,ACM/IFIP/ USENIX,http://dblp.uni-trier.de/db/conf/middleware/
CCF-B,SAS,International Static Analysis Symposium,Springer,http://dblp.uni-trier.de/db/conf/sas/
CCF-B,ESEM,International Symposium on Empirical Software Engineering and Measurement,ACM/IEEE,http://dblp.uni-trier.de/db/conf/esem/
CCF-B,ISSRE,International Symposium on Software Reliability Engineering,IEEE,http://dblp.uni-trier.de/db/conf/issre/
CCF-B,HotOS,USENIX Workshop on Hot Topics in Operating Systems,USENIX,http://dblp.uni-trier.de/db/conf/hotos/
CCF-C,PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,ACM,http://dblp.uni-trier.de/db/conf/pepm/
CCF-C,PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,ACM,http://dblp.uni-trier.de/db/conf/paste/
CCF-C,APLAS,Asian Symposium on Programming Languages and Systems,Springer,http://dblp.uni-trier.de/db/conf/aplas/
CCF-C,APSEC,Asia-Pacific Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/apsec/
CCF-C,EASE,Evaluation and Assessment in Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/ease/
CCF-C,ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/
CCF-C,ICST,"IEEE International Conference on Software Testing, Verification and Validation",IEEE,http://dblp.uni-trier.de/db/conf/icst/
CCF-C,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,IEEE,http://dblp.uni-trier.de/db/conf/ispass/
CCF-C,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,IEEE,http://dblp.uni-trier.de/db/conf/scam/
CCF-C,COMPSAC,International Computer Software and Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/compsac/
CCF-C,ICFEM,International Conference on Formal Engineering Methods,Springer,http://dblp.uni-trier.de/db/conf/icfem/
CCF-C,TOOLS,"International Conference on Objects, Models, Components, Patterns",Springer,http://dblp.uni-trier.de/db/conf/tools/index.html
CCF-C,SCC,International Conference on Service Computing,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/
CCF-C,ICSSP,International Conference on Software and System Process,ACM,http://dblp.uni-trier.de/db/conf/ispw/
CCF-C,SEKE,International Conference on Software Engineering and Knowledge Engineering,KSI,http://dblp.uni-trier.de/db/conf/seke/
CCF-C,QRS,"International Conference on Software Quality, Reliability and Security",IEEE,https://dblp.uni-trier.de/db/conf/qrs/
CCF-C,ICSR,International Conference on Software Reuse,Springer,http://dblp.uni-trier.de/db/conf/icsr/
CCF-C,ICWE,International Conference on Web Engineering,Springer,http://dblp.uni-trier.de/db/conf/icwe/
CCF-C,SPIN,International SPIN Workshop on Model Checking Software,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html
CCF-C,ATVA,International Symposium on Automated Technology for Verification and Analysis,Springer,http://dblp.uni-trier.de/db/conf/atva/
CCF-C,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,Springer,http://dblp.uni-trier.de/db/conf/lopstr/
CCF-C,TASE,International Symposium on Theoretical Aspects of Software Engineering,IEEE,http://dblp.uni-trier.de/db/conf/tase/
CCF-C,MSR,Mining Software Repositories,IEEE/ACM,http://dblp.uni-trier.de/db/conf/msr/
CCF-C,REFSQ,Requirements Engineering: Foundation for Software Quality,Springer,http://dblp.uni-trier.de/db/conf/refsq/
CCF-C,WICSA,Working IEEE/IFIP Conference on Software Architecture,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/
CCF-C,Internetware,Asia-Pacific Symposium on Internetware,ACM,https://dblp.uni-trier.de/db/conf/internetware/index.html
CCF-C,RV,International Conference on Runtime Verification,Springer,https://dblp.uni-trier.de/db/conf/rv/index.html
CCF-A,TODS,ACM Transactions on Database Systems,ACM,http://dblp.uni-trier.de/db/journals/tods/
CCF-A,TOIS,ACM Transactions on Information Systems,ACM,http://dblp.uni-trier.de/db/journals/tois/
CCF-A,TKDE,IEEE Transactions on Knowledge and Data Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tkde/
CCF-A,VLDBJ,The VLDB Journal,Springer,http://dblp.uni-trier.de/db/journals/vldb/
CCF-B,TKDD,ACM Transactions on Knowledge Discovery from Data,ACM,http://dblp.uni-trier.de/db/journals/tkdd/
CCF-B,TWEB,ACM Transactions on the Web,ACM,http://dblp.uni-trier.de/db/journals/tweb/
CCF-B,AEI,Advanced Engineering Informatics,Elsevier,http://dblp.uni-trier.de/db/journals/aei/
CCF-B,DKE,Data and Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/
CCF-B,DMKD,Data Mining and Knowledge Discovery,Springer,http://dblp.uni-trier.de/db/journals/datamine/
CCF-B,EJIS,European Journal of Information Systems,Springer,http://dblp.uni-trier.de/db/journals/ejis/
CCF-B,,GeoInformatica,Springer,http://dblp.uni-trier.de/db/journals/geoinformatica/
CCF-B,IPM,Information Processing and Management,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/
CCF-B,,Information Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/isci/
CCF-B,IS,Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/is/
CCF-B,JASIST,Journal of the American Society for Information Science and Technology,American Society for Information Science and Technology,http://dblp.uni-trier.de/db/journals/jasis/
CCF-B,JWS,Journal of Web Semantics,Elsevier,http://dblp.uni-trier.de/db/journals/ws/
CCF-B,KAIS,Knowledge and Information Systems,Springer,http://dblp.uni-trier.de/db/journals/kais/
CCF-C,DPD,Distributed and Parallel Databases,Springer,http://dblp.uni-trier.de/db/journals/dpd/
CCF-C,I&M,Information and Management,Elsevier,http://dblp.uni-trier.de/db/journals/iam/
CCF-C,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
CCF-C,IR,Information Retrieval Journal,Springer,http://dblp.uni-trier.de/db/journals/ir/
CCF-C,IJCIS,International Journal of Cooperative Information Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/
CCF-C,IJGIS,International Journal of Geographical Information Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/
CCF-C,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
CCF-C,IJKM,International Journal of Knowledge Management,IGI,http://dblp.uni-trier.de/db/journals/ijkm/
CCF-C,IJSWIS,International Journal on Semantic Web and Information Systems,IGI,http://dblp.uni-trier.de/db/journals/ijswis/
CCF-C,JCIS,Journal of Computer Information Systems,IACIS,http://dblp.uni-trier.de/db/journals/jcis/
CCF-C,JDM,Journal of Database Management,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/
CCF-C,JGITM,Journal of Global Information Technology Management,Ivy League Publishing,https://dblp.uni-trier.de/db/journals/jgim/index.html
CCF-C,JIIS,Journal of Intelligent Information Systems,Springer,http://dblp.uni-trier.de/db/journals/jiis/
CCF-C,JSIS,Journal of Strategic Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/
CCF-C,DSE,Data Science and Engineering,CCF,https://dblp.uni-trier.de/db/journals/dase/index.html
CCF-A,SIGMOD,ACM Conference on Management of Data,ACM,http://dblp.uni-trier.de/db/conf/sigmod/
CCF-A,SIGKDD,ACM Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/
CCF-A,ICDE,IEEE International Conference on Data Engineering,IEEE,http://dblp.uni-trier.de/db/conf/icde/
CCF-A,SIGIR,International Conference on Research on Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/
CCF-A,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann/ACM,http://dblp.uni-trier.de/db/conf/vldb/
CCF-B,CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.uni-trier.de/db/conf/cikm/
CCF-B,WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/wsdm/
CCF-B,PODS,ACM Symposium on Principles of Database Systems,ACM,http://dblp.uni-trier.de/db/conf/pods/
CCF-B,DASFAA,Database Systems for Advanced Applications,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/
CCF-B,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/conf/ecml/ http://dblp.uni-trier.de/db/conf/pkdd/
CCF-B,ISWC,IEEE International Semantic Web Conference,IEEE,http://dblp.uni-trier.de/db/conf/semweb/
CCF-B,ICDM,International Conference on Data Mining,IEEE,http://dblp.uni-trier.de/db/conf/icdm/
CCF-B,ICDT,International Conference on Database Theory,Springer,http://dblp.uni-trier.de/db/conf/icdt/
CCF-B,EDBT,International Conference on Extending DB Technology,Springer,http://dblp.uni-trier.de/db/conf/edbt/
CCF-B,CIDR,International Conference on Innovative Data Systems Research,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/
CCF-B,SDM,SIAM International Conference on Data Mining,SIAM,http://dblp.uni-trier.de/db/conf/sdm/
CCF-B,RecSys,ACM Conference on Recommender Systems,ACM,https://dblp.uni-trier.de/db/conf/recsys/index.html
CCF-C,APWeb,Asia Pacific Web Conference,Springer,http://dblp.uni-trier.de/db/conf/apweb/
CCF-C,DEXA,Database and Expert System Applications,Springer,http://dblp.uni-trier.de/db/conf/dexa/
CCF-C,ECIR,European Conference on IR Research,Springer,http://dblp.uni-trier.de/db/conf/ecir/
CCF-C,ESWC,Extended Semantic Web Conference,Springer,http://dblp.uni-trier.de/db/conf/esws/
CCF-C,WebDB,International ACM Workshop on Web and Databases,ACM,http://dblp.uni-trier.de/db/conf/webdb/
CCF-C,ER,International Conference on Conceptual Modeling,Springer,http://dblp.uni-trier.de/db/conf/er/
CCF-C,MDM,International Conference on Mobile Data Management,IEEE,http://dblp.uni-trier.de/db/conf/mdm/
CCF-C,SSDBM,International Conference on Scientific and Statistical DB Management,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/
CCF-C,WAIM,International Conference on Web Age Information Management,Springer,http://dblp.uni-trier.de/db/conf/waim/
CCF-C,SSTD,International Symposium on Spatial and Temporal Databases,Springer,http://dblp.uni-trier.de/db/conf/ssd/
CCF-C,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.uni-trier.de/db/conf/pakdd/
CCF-C,WISE,Web Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/wise/
CCF-C,ADMA,International Conference on Advanced Data Mining and Applications,Springer,https://dblp.uni-trier.de/db/conf/adma/index.html
CCF-A,TIT,IEEE Transactions on Information Theory,IEEE,http://dblp.uni-trier.de/db/journals/tit/
CCF-A,IANDC,Information and Computation,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/
CCF-A,SICOMP,SIAM Journal on Computing,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/
CCF-B,TALG,ACM Transactions on Algorithms,ACM,http://dblp.uni-trier.de/db/journals/talg/
CCF-B,TOCL,ACM Transactions on Computational Logic,ACM,http://dblp.uni-trier.de/db/journals/tocl/
CCF-B,TOMS,ACM Transactions on Mathematical Software,ACM,http://dblp.uni-trier.de/db/journals/toms/
CCF-B,Algorithmica,Algorithmica,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/
CCF-B,CC,Computational Complexity,Springer,http://dblp.uni-trier.de/db/journals/cc/
CCF-B,FAC,Formal Aspects of Computing,Springer,http://dblp.uni-trier.de/db/journals/fac/
CCF-B,FMSD,Formal Methods in System Design,Springer,http://dblp.uni-trier.de/db/journals/fmsd/
CCF-B,INFORMS,INFORMS Journal on Computing,INFORMS,http://dblp.uni-trier.de/db/journals/informs/
CCF-B,JCSS,Journal of Computer and System Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/jcss/
CCF-B,JGO,Journal of Global Optimization,Springer,http://dblp.uni-trier.de/db/journals/jgo/
CCF-B,JSC,Journal of Symbolic Computation,Elsevier,http://dblp.uni-trier.de/db/journals/jsc/
CCF-B,MSCS,Mathematical Structures in Computer Science,Cambridge University Press,http://dblp.uni-trier.de/db/journals/mscs/
CCF-B,TCS,Theoretical Computer Science,Elsevier,http://dblp.uni-trier.de/db/journals/tcs/
CCF-C,ACTA,Acta Informatica,Springer,http://dblp.uni-trier.de/db/journals/acta/
CCF-C,APAL,Annals of Pure and Applied Logic,Elsevier,http://dblp.uni-trier.de/db/journals/apal/
CCF-C,DAM,Discrete Applied Mathematics,Elsevier,http://dblp.uni-trier.de/db/journals/dam/
CCF-C,FUIN,Fundamenta Informaticae,IOS Press,http://dblp.uni-trier.de/db/journals/fuin/
CCF-C,LISP,Higher-Order and Symbolic Computation,Springer,http://dblp.uni-trier.de/db/journals/lisp/
CCF-C,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
CCF-C,JCOMPLEXITY,Journal of Complexity,Elsevier,http://dblp.uni-trier.de/db/journals/jc/
CCF-C,LOGCOM,Journal of Logic and Computation,Oxford University Press,http://dblp.uni-trier.de/db/journals/logcom/
CCF-C,JSL,Journal of Symbolic Logic,Association for Symbolic Logic,http://dblp.uni-trier.de/db/journals/jsyml/
CCF-C,LMCS,Logical Methods in Computer Science,LMCS,http://dblp.uni-trier.de/db/journals/lmcs/
CCF-C,SIDMA,SIAM Journal on Discrete Mathematics,SIAM,http://dblp.uni-trier.de/db/journals/siamdm/
CCF-C,,Theory of Computing Systems,Springer,http://dblp.uni-trier.de/db/journals/mst/
CCF-A,STOC,ACM Symposium on the Theory of Computing,ACM,http://dblp.uni-trier.de/db/conf/stoc/
CCF-A,SODA,ACM-SIAM Symposium on Discrete Algorithms,SIAM,http://dblp.uni-trier.de/db/conf/soda/
CCF-A,CAV,Computer Aided Verification,Springer,http://dblp.uni-trier.de/db/conf/cav/
CCF-A,FOCS,IEEE Annual Symposium on Foundations of Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/focs/
CCF-A,LICS,IEEE Symposium on Logic in Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/lics/
CCF-B,SoCG,ACM Symposium on Computational Geometry,ACM,http://dblp.uni-trier.de/db/conf/compgeom/
CCF-B,ESA,European Symposium on Algorithms,Springer,http://dblp.uni-trier.de/db/conf/esa/
CCF-B,CCC,IEEE Conference on Computational Complexity,IEEE,http://dblp.uni-trier.de/db/conf/coco/
CCF-B,ICALP,"International Colloquium on Automata, Languages and Programming",Springer,http://dblp.uni-trier.de/db/conf/icalp/
CCF-B,CADE/IJCAR,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,Springer,http://dblp.uni-trier.de/db/conf/cade/
CCF-B,CONCUR,International Conference on Concurrency Theory,Springer,http://dblp.uni-trier.de/db/conf/concur/
CCF-B,HSCC,International Conference on Hybrid Systems: Computation and Control,Springer and ACM,http://dblp.uni-trier.de/db/conf/hybrid/
CCF-B,SAT,Theory and Applications of Satisfiability Testing,Springer,http://dblp.uni-trier.de/db/conf/sat/
CCF-B,COCOON,International Computing and Combinatorics Conference,Springer,https://dblp.uni-trier.de/db/conf/cocoon/index.html
CCF-C,CSL,Computer Science Logic,Springer,http://dblp.uni-trier.de/db/conf/csl/
CCF-C,FMCAD,Formal Methods in Computer-Aided Design,ACM,http://dblp.uni-trier.de/db/conf/fmcad/
CCF-C,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/conf/fsttcs/
CCF-C,DSAA,IEEE International Conference on Data Science and Advanced Analytics,IEEE,https://dblp.uni-trier.de/db/conf/dsaa/
CCF-C,ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,http://dblp.uni-trier.de/db/conf/ictac/
CCF-C,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,http://dblp.uni-trier.de/db/conf/ipco/
CCF-C,RTA,International Conference on Rewriting Techniques and Applications,Springer,http://dblp.uni-trier.de/db/conf/rta/
CCF-C,ISAAC,International Symposium on Algorithms and Computation,Springer,http://dblp.uni-trier.de/db/conf/isaac/
CCF-C,MFCS,Mathematical Foundations of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/mfcs/
CCF-C,STACS,Symposium on Theoretical Aspects of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/stacs/
CCF-C,SETTA,"International Symposium on Dependable Software Engineering: Theories, Tools, and Applications",Springer,https://dblp.uni-trier.de/db/conf/setta/index.html
CCF-A,TOG,ACM Transactions on Graphics,ACM,http://dblp.uni-trier.de/db/journals/tog/
CCF-A,TIP,IEEE Transactions on Image Processing,IEEE,http://dblp.uni-trier.de/db/journals/tip/
CCF-A,TVCG,IEEE Transactions on Visualization and Computer Graphics,IEEE,http://dblp.uni-trier.de/db/journals/tvcg/
CCF-B,TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Application",ACM,http://dblp.uni-trier.de/db/journals/tomccap/
CCF-B,CAGD,Computer Aided Geometric Design,Elsevier,http://dblp.uni-trier.de/db/journals/cagd/
CCF-B,CGF,Computer Graphics Forum,Wiley,http://dblp.uni-trier.de/db/journals/cgf/
CCF-B,CAD,Computer-Aided Design,Elsevier,http://dblp.uni-trier.de/db/journals/cad/
CCF-B,GM,Graphical Models,Elsevier,http://dblp.uni-trier.de/db/journals/cvgip/
CCF-B,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,http://dblp.uni-trier.de/db/journals/tcsv/
CCF-B,TMM,IEEE Transactions on Multimedia,IEEE,http://dblp.uni-trier.de/db/journals/tmm/
CCF-B,JASA,Journal of The Acoustical Society of America,AIP,http://scitation.aip.org/content/asa/journal/jasa
CCF-B,SIIMS,SIAM Journal on Imaging Sciences,SIAM,http://dblp.uni-trier.de/db/journals/siamis/
CCF-B,Speech Com,Speech Communication,Elsevier,http://dblp.uni-trier.de/db/journals/speech/
CCF-C,CGTA,Computational Geometry: Theory and Applications,Elsevier,http://dblp.uni-trier.de/db/journals/comgeo/
CCF-C,CAVW,Computer Animation and Virtual Worlds,Wiley,https://dblp.uni-trier.de/db/journals/jvca/index.html
CCF-C,C&G,Computers & Graphics,Elsevier,http://dblp.uni-trier.de/db/journals/cg/
CCF-C,DCG,Discrete & Computational Geometry,Springer,http://dblp.uni-trier.de/db/journals/dcg/
CCF-C,SPL,IEEE Signal Processing Letters,IEEE,http://dblp.uni-trier.de/db/journals/spl/
CCF-C,IET-IPR,IET Image Processing,IET,http://dblp.uni-trier.de/db/journals/iet-ipr/
CCF-C,JVCIR,Journal of Visual Communication and Image Representation,Elsevier,http://dblp.uni-trier.de/db/journals/jvcir/
CCF-C,MS,Multimedia Systems,Springer,http://dblp.uni-trier.de/db/journals/mms/
CCF-C,MTA,Multimedia Tools and Applications,Springer,http://dblp.uni-trier.de/db/journals/mta/
CCF-C,,Signal Processing,Elsevier,http://dblp.uni-trier.de/db/journals/sigpro/
CCF-C,SPIC,Signal Processing: Image Communication,Elsevier,http://dblp.uni-trier.de/db/journals/spic/
CCF-C,TVC,The Visual Computer,Springer,http://dblp.uni-trier.de/db/journals/vc/
CCF-C,CVMJ,Computational Visual Media,"TsinghuaUniversity;Springer",https://dblp.uni-trier.de/db/journals/cvm/index.html
CCF-A,ACM MM,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/
CCF-A,SIGGRAPH,ACM SIGGRAPH Annual Conference,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html
CCF-A,VR,IEEE Virtual Reality,IEEE,http://dblp.uni-trier.de/db/conf/vr/
CCF-A,IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html
CCF-B,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.uni-trier.de/db/conf/mir/
CCF-B,SI3D,ACM Symposium on Interactive 3D Graphics,ACM,http://dblp.uni-trier.de/db/conf/si3d/
CCF-B,SCA,ACM/Eurographics Symposium on Computer Animation,ACM,http://dblp.uni-trier.de/db/conf/sca/index.html
CCF-B,DCC,Data Compression Conference,IEEE,http://dblp.uni-trier.de/db/conf/dcc/
CCF-B,EG,Eurographics,Wiley/ Blackwell,http://dblp.uni-trier.de/db/conf/eurographics/
CCF-B,EuroVis,Eurographics Conference on Visualization,ACM,http://dblp.uni-trier.de/db/conf/vissym/
CCF-B,SGP,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/sgp/
CCF-B,EGSR,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/rt/
CCF-B,ICASSP,"IEEE International Conference on Acoustics, Speech and SP",IEEE,http://dblp.uni-trier.de/db/conf/icassp/
CCF-B,ICME,IEEE International Conference on Multimedia & Expo,IEEE,http://dblp.uni-trier.de/db/conf/icmcs/
CCF-B,ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/
CCF-B,PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html
CCF-B,SPM,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/
CCF-C,,ACM Symposium on Virtual Reality Software and Technology,ACM,http://dblp.uni-trier.de/db/conf/vrst/
CCF-C,CASA,Computer Animation and Social Agents,Wiley,http://dblp.uni-trier.de/db/conf/ca/
CCF-C,CGI,Computer Graphics International,Springer,http://dblp.uni-trier.de/db/conf/cgi/
CCF-C,INTERSPEECH,Conference of the International Speech Communication Association,,http://dblp.uni-trier.de/db/conf/interspeech/index.html
CCF-C,GMP,Geometric Modeling and Processing,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/
CCF-C,PacificVis,IEEE Pacific Visualization Symposium,IEEE,http://dblp.uni-trier.de/db/conf/apvis/
CCF-C,3DV,International Conference on 3D Vision,IEEE,https://dblp.uni-trier.de/db/conf/3dim/
CCF-C,CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics,IEEE,https://dblp.uni-trier.de/db/conf/cadgraphics/
CCF-C,ICIP,International Conference on Image Processing,IEEE,http://dblp.uni-trier.de/db/conf/icip/
CCF-C,MMM,International Conference on Multimedia Modeling,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html
CCF-C,PCM,Pacific-Rim Conference on Multimedia,Springer,http://dblp.uni-trier.de/db/conf/pcm/
CCF-C,SMI,Shape Modeling International,IEEE,http://dblp.uni-trier.de/db/conf/smi/
CCF-C,ICVRV,International Conference on Virtual Reality and Visualization,IEEE,https://www.computer.org/csdl/proceedings/1800579
CCF-C,CVM,Computational Visual Media,TsinghuaUniversity,https://dblp.uni-trier.de/db/conf/cvm/index.html
CCF-C,PRCV,Chinese Conference on Pattern Recognition and Computer Vision,Springer,https://dblp.uni-trier.de/db/conf/prcv/index.html
CCF-A,AI,Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/ai/
CCF-A,TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence,IEEE,http://dblp.uni-trier.de/db/journals/pami/
CCF-A,IJCV,International Journal of Computer Vision,Springer,http://dblp.uni-trier.de/db/journals/ijcv/
CCF-A,JMLR,Journal of Machine Learning Research,MIT Press,http://dblp.uni-trier.de/db/journals/jmlr/
CCF-B,TAP,ACM Transactions on Applied Perception,ACM,http://dblp.uni-trier.de/db/journals/tap/
CCF-B,TSLP,ACM Transactions on Speech and Language Processing,ACM,http://dblp.uni-trier.de/db/journals/tslp/
CCF-B,AAMAS,Autonomous Agents and Multi-Agent Systems,Springer,http://dblp.uni-trier.de/db/journals/aamas/
CCF-B,,Computational Linguistics,MIT Press,http://dblp.uni-trier.de/db/journals/coling/
CCF-B,CVIU,Computer Vision and Image Understanding,Elsevier,http://dblp.uni-trier.de/db/journals/cviu/
CCF-B,DKE,Data and Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/index.html
CCF-B,,Evolutionary Computation,MIT Press,http://dblp.uni-trier.de/db/journals/ec/
CCF-B,TAC,IEEE Transactions on Affective Computing,IEEE,http://dblp.uni-trier.de/db/journals/taffco/
CCF-B,TASLP,"IEEE Transactions on Audio, Speech, and Language Processing",IEEE,http://dblp.uni-trier.de/db/journals/taslp/
CCF-B,,IEEE Transactions on Cybernetics,IEEE,http://dblp.uni-trier.de/db/journals/tcyb/
CCF-B,TEC,IEEE Transactions on Evolutionary Computation,IEEE,http://dblp.uni-trier.de/db/journals/tec/
CCF-B,TFS,IEEE Transactions on Fuzzy Systems,IEEE,http://dblp.uni-trier.de/db/journals/tfs/
CCF-B,TNNLS,IEEE Transactions on Neural Networks and learning systems,IEEE,http://dblp.uni-trier.de/db/journals/tnn/
CCF-B,IJAR,International Journal of Approximate Reasoning,Elsevier,http://dblp.uni-trier.de/db/journals/ijar/
CCF-B,JAIR,Journal of Artificial Intelligence Research,AAAI,http://dblp.uni-trier.de/db/journals/jair/index.html
CCF-B,,Journal of Automated Reasoning,Springer,http://dblp.uni-trier.de/db/journals/jar/
CCF-B,JSLHR,"Journal of Speech, Language, and Hearing Research",American Speech-Language Hearing Association,http://jslhr.pubs.asha.org/
CCF-B,,Machine Learning,Springer,http://dblp.uni-trier.de/db/journals/ml/
CCF-B,,Neural Computation,MIT Press,http://dblp.uni-trier.de/db/journals/neco/
CCF-B,,Neural Networks,Elsevier,http://dblp.uni-trier.de/db/journals/nn/
CCF-B,PR,Pattern Recognition,Elsevier,http://dblp.uni-trier.de/db/conf/par/
CCF-B,TACL,Transactions of the Association for Computational Linguistics,The Association for Computational Linguistics,https://dblp.uni-trier.de/db/journals/tacl/index.html
CCF-C,TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM,http://dblp.uni-trier.de/db/journals/talip/
CCF-C,,Applied Intelligence,Springer,http://dblp.uni-trier.de/db/journals/apin/
CCF-C,AIM,Artificial Intelligence in Medicine,Elsevier,http://dblp.uni-trier.de/db/journals/artmed/
CCF-C,,Artificial Life,MIT Press,http://dblp.uni-trier.de/db/journals/alife/
CCF-C,,Computational Intelligence,Wiley,http://dblp.uni-trier.de/db/journals/ci/
CCF-C,,Computer Speech and Language,Elsevier,http://dblp.uni-trier.de/db/journals/csl/
